"X","Code","Name","Municipality","Ownership","Applications","Vacancies"
"416","08019231","Escola Milagros Consarnau","L'Hospitalet de Llobregat","Pública",55,50
"417","08019241","Escola Frederic Mistral","L'Hospitalet de Llobregat","Pública",32,50
"418","08019265","Escola Joaquim Ruyra","L'Hospitalet de Llobregat","Pública",40,44
"419","08019277","Escola La Marina","L'Hospitalet de Llobregat","Pública",41,50
"420","08019290","Escola Provençana","L'Hospitalet de Llobregat","Pública",19,25
"421","08019368","Escola Pere Lliscart","L'Hospitalet de Llobregat","Pública",20,50
"872","08032488","Escola Puig i Gairalt","L'Hospitalet de Llobregat","Pública",47,44
"893","08033560","Escola Màrius Torres","L'Hospitalet de Llobregat","Pública",57,44
"904","08034242","Escola Pablo Neruda","L'Hospitalet de Llobregat","Pública",15,25
"905","08034266","Escola Joan Maragall","L'Hospitalet de Llobregat","Pública",16,25
"918","08034527","Escola Ramon Muntaner","L'Hospitalet de Llobregat","Pública",26,25
"924","08034837","Escola Bernat Desclot","L'Hospitalet de Llobregat","Pública",29,25
"925","08034850","Escola Pau Casals","L'Hospitalet de Llobregat","Pública",58,50
"926","08034862","Escola Ausiàs March","L'Hospitalet de Llobregat","Pública",14,25
"955","08035945","Escola La Carpa","L'Hospitalet de Llobregat","Pública",52,75
"968","08036366","Escola Lola Anglada","L'Hospitalet de Llobregat","Pública",26,22
"969","08036378","Escola Charlie Rivel","L'Hospitalet de Llobregat","Pública",27,22
"972","08036950","Santa Marta","L'Hospitalet de Llobregat","Concertada",17,25
"993","08038004","Escola Josep Janés","L'Hospitalet de Llobregat","Pública",19,25
"1014","08038867","Jaume Balmes","L'Hospitalet de Llobregat","Concertada",25,25
"1033","08039562","Escola Prat de la Manta","L'Hospitalet de Llobregat","Pública",26,25
"1034","08039574","Escola Pau Sans","L'Hospitalet de Llobregat","Pública",29,25
"1099","08042871","Escola Patufet Sant Jordi-Francesc Batallé i Ara","L'Hospitalet de Llobregat","Pública",54,50
"1100","08042883","Escola Sant Josep - El Pi","L'Hospitalet de Llobregat","Pública",30,25
"1164","08047674","Escola Gornal","L'Hospitalet de Llobregat","Pública",9,22
"1169","08051471","Escola Josep Maria Folch i Torres","L'Hospitalet de Llobregat","Pública",29,44
"1297","08063485","Avantis","L'Hospitalet de Llobregat","Concertada",140,175
"1356","08067016","Escola Ernest Lluch","L'Hospitalet de Llobregat","Pública",20,22
"1378","08069736","Escola Paco Candel","L'Hospitalet de Llobregat","Pública",61,50
"1436","17000411","Escola Joan de Margarit","La Bisbal d'Empordà","Pública",43,38
"1437","17000421","Cor de Maria","La Bisbal d'Empordà","Concertada",17,19
"1603","17005248","Escola Mas Clarà","La Bisbal d'Empordà","Pública",36,38
"1650","17009710","Escola Empordanet","La Bisbal d'Empordà","Pública",14,19
"1795","43000597","Escola Ull del Vent","La Bisbal del Penedès","Pública",19,25
"1853","43003185","Escola La Canonja","La Canonja","Pública",55,50
"1567","17003781","Escola Juncadella","La Cellera de Ter","Pública",24,25
"1691","25001618","Escola Guillem Isarn","La Fuliola","Pública",13,25
"360","08017311","Escola Puiggraciós","La Garriga","Pública",43,50
"361","08017335","Sant Lluís Gonçaga","La Garriga","Concertada",21,25
"1046","08039707","Escola Tagamanent","La Garriga","Pública",15,25
"1150","08044521","Escola Els Pinetons","La Garriga","Pública",40,50
"1220","08058441","Escola Giroi","La Garriga","Pública",25,25
"373","08017682","Escola Jacint Verdaguer","La Granada","Pública",22,25
"1494","17002004","Escola Josep Peñuelas del Rio","La Jonquera","Pública",31,50
"435","08019711","Escola Sagrada Família","La Llagosta","Pública",28,25
"436","08019733","Gilpe","La Llagosta","Concertada",22,25
"437","08019745","Escola Joan Maragall","La Llagosta","Pública",47,50
"1047","08039719","Escola Les Planes","La Llagosta","Pública",34,50
"1920","43005467","Escola Les Codinetes","La Nou de Gaià","Pública",14,25
"330","08016264","Escola El Solell","La Palma de Cervelló","Pública",18,25
"549","08022859","Escola Maria Borés","La Pobla de Claramunt","Pública",16,25
"550","08022860","Escola Lillet A. Güell","La Pobla de Lillet","Pública",4,6
"1921","43005480","Escola Mare de Déu del Lledó","La Pobla de Mafumet","Pública",55,75
"1910","43005145","Escola Els Ametllers","La Pobla de Montornès","Pública",31,50
"1723","25003688","Escola Els Raiers","La Pobla de Segur","Pública",28,50
"1911","43005157","Escola Montoliu","La Riera de Gaià","Pública",16,25
"575","08023591","Escola Pilar Mestres-Jaume Torrens","La Roca del Vallès","Pública",14,25
"1000","08038168","Escola La Torreta","La Roca del Vallès","Pública",19,25
"1258","08060991","Escola Mogent","La Roca del Vallès","Pública",44,50
"1359","08067120","Escola Santa Agnès de Malanyanes","La Roca del Vallès","Pública",9,11
"1848","43003082","Escola Guillem de Claramunt","La Secuita","Pública",16,25
"1849","43003100","Escola Abel Ferrater","La Selva del Camp","Pública",40,50
"1850","43003112","Sant Rafael","La Selva del Camp","Concertada",19,25
"1802","43000871","Escola Jaume I","La Sénia","Pública",43,50
"1730","25004140","Escola Mossèn Albert Vives","La Seu d'Urgell","Pública",32,25
"1731","25004152","La Salle","La Seu d'Urgell","Concertada",39,44
"1757","25005533","Escola Pau Claris","La Seu d'Urgell","Pública",37,50
"820","08030583","Escola La Torre","La Torre de Claramunt","Pública",9,25
"821","08030595","Escola Torrescasana","La Torre de Claramunt","Pública",7,25
"1574","17003951","Parvulari de Sant Esteve d'en Bas","La Vall d'en Bas","Pública",7,14
"1575","17004001","Escola Verntallat","La Vall d'en Bas","Pública",13,18
"1718","25002957","Escola Estudi Alejandro Casona","Les","Pública",23,25
"1683","25001141","Escola Joan XXIII","Les Borges Blanques","Pública",31,50
"1684","25001151","Mare de Déu de Montserrat","Les Borges Blanques","Concertada",25,25
"1796","43000627","Escola Rocabruna","Les Borges del Camp","Pública",20,25
"1284","08062705","Escola La Cabana","Les Cabanyes","Pública",15,12
"359","08017271","Escola Joan Sanpera i Torras","Les Franqueses del Vallès","Pública",39,50
"1231","08059780","Escola Bellavista-Joan Camps i Giró","Les Franqueses del Vallès","Pública",25,45
"1253","08060939","Escola Guerau de Liost","Les Franqueses del Vallès","Pública",63,50
"1330","08064817","Escola Camins","Les Franqueses del Vallès","Pública",64,50
"1350","08066413","Escola Colors","Les Franqueses del Vallès","Pública",19,25
"464","08020701","Escola Comtes de Lacambra","Les Masies de Voltregà","Pública",16,25
"683","08026543","Mare de Déu de la Gleva","Les Masies de Voltregà","Concertada",15,25
"1349","08066371","Escola El Despujol","Les Masies de Voltregà","Pública",24,22
"1528","17002752","Escola Sant Cristòfol","Les Planes d'Hostoles","Pública",19,25
"1641","17008882","Escola La Bòbila","Les Preses","Pública",14,25
"1719","25002970","Escola El Sitjar","Linyola","Pública",29,50
"1495","17002028","Escola Montserrat Vayreda i Trullol","Lladó","Pública",9,9
"1496","17002031","Escola Lacustària","Llagostera","Pública",51,50
"1645","17009138","Escola Puig de les Cadiretes","Llagostera","Pública",40,50
"1497","17002077","Escola Pompeu Fabra","Llançà","Pública",47,50
"1697","25001953","Escola Enric Farreny","Lleida","Pública",29,25
"1698","25002003","Escola Santa Maria de Gardeny","Lleida","Pública",14,22
"1699","25002052","Escola Balàfia","Lleida","Pública",14,22
"1700","25002064","Escola Camps Elisis","Lleida","Pública",13,22
"1701","25002076","Escola Cervantes","Lleida","Pública",6,22
"1702","25002088","Escola Riu Segre","Lleida","Pública",38,50
"1703","25002091","Escola Magí Morera i Galícia","Lleida","Pública",17,22
"1704","25002106","Escola Pardinyes","Lleida","Pública",12,22
"1705","25002121","Escola Príncep de Viana","Lleida","Pública",21,22
"1706","25002222","FEDAC-Lleida","Lleida","Concertada",15,50
"1707","25002234","Santa Anna","Lleida","Concertada",38,50
"1708","25002313","Maristes Montserrat","Lleida","Concertada",70,75
"1709","25002350","Lestonnac-l'Ensenyança","Lleida","Concertada",50,50
"1710","25002374","El Carme","Lleida","Concertada",32,48
"1711","25002431","Sagrada Família","Lleida","Concertada",23,50
"1712","25002489","Mater Salvatoris","Lleida","Concertada",27,50
"1713","25002623","Sant Jaume","Lleida","Concertada",26,25
"1714","25002647","Episcopal-Mare de Déu de l'Acadèmia","Lleida","Concertada",67,75
"1715","25002659","Escola Sant Josep de Calassanç","Lleida","Pública",23,22
"1716","25002672","Escola de Pràctiques I","Lleida","Pública",35,25
"1717","25002911","Claver","Lleida","Concertada",75,75
"1755","25005430","Escola Joan XXIII","Lleida","Pública",25,22
"1756","25005491","Escola Magraners","Lleida","Pública",11,22
"1759","25005673","Escola Joan Maragall","Lleida","Pública",16,22
"1760","25005697","Mirasan","Lleida","Concertada",40,50
"1761","25005703","Arabell","Lleida","Concertada",40,50
"1762","25005880","Escola Frederic Godas","Lleida","Pública",56,50
"1763","25006264","Escola Espiga","Lleida","Pública",54,50
"1764","25006276","Escola Sant Jordi","Lleida","Pública",25,25
"1765","25006409","Escola Joc de la Bola","Lleida","Pública",63,50
"1766","25006501","Escola Alba","Lleida","Pública",50,50
"1768","25008212","Escola Pràctiques II","Lleida","Pública",51,50
"1769","25008649","Escola Francesco Tonucci","Lleida","Pública",43,25
"1770","25008777","Escola Parc de l'Aigua","Lleida","Pública",51,50
"1774","25009034","Escola Ciutat Jardí","Lleida","Pública",45,50
"1775","25009071","Escola Països Catalans","Lleida","Pública",50,50
"1779","25009149","Escola Pinyana","Lleida","Pública",12,22
"1780","25009344","Escola La Mitjana","Lleida","Pública",52,50
"1782","25010280","Institut Escola Torre Queralt","Lleida","Pública",20,22
"1498","17002089","Escola de Llers","Llers","Pública",9,10
"1206","08055907","Escola Miquel Martí i Pol","Lliçà d'Amunt","Pública",25,25
"1254","08060940","Escola Rosa Oriol Anguera","Lliçà d'Amunt","Pública",24,25
"1402","08074823","Escola de Lliçà d'Amunt","Lliçà d'Amunt","Pública",41,50
"439","08019824","Escola Les Llisses","Lliçà de Vall","Pública",32,26
"1255","08060952","Escola Els Vinyals","Lliçà de Vall","Pública",23,25
"438","08019782","Escola Salvador Sanromà","Llinars del Vallès","Pública",32,25
"1094","08042792","Escola Damià Mateu","Llinars del Vallès","Pública",21,25
"1158","08045161","Ginebró","Llinars del Vallès","Concertada",55,50
"1812","43001361","Escola Les Cometes","Llorenç del Penedès","Pública",26,25
"1499","17002107","Escola Pere Torrent","Lloret de Mar","Pública",26,66
"1500","17002119","Immaculada Concepció","Lloret de Mar","Concertada",30,50
"1590","17004657","Escola Esteve Carles","Lloret de Mar","Pública",24,25
"1600","17004955","Escola Pompeu Fabra","Lloret de Mar","Pública",61,50
"1619","17008080","Escola Àngels Alemany i Boris","Lloret de Mar","Pública",77,75
"1655","17009898","Institut Escola Lloret de Mar","Lloret de Mar","Pública",65,50
"1501","17002181","Escola Sant Jordi","Maçanet de la Selva","Pública",19,22
"1633","17008547","Escola Nova de Maçanet de la Selva","Maçanet de la Selva","Pública",24,25
"440","08019873","Escola Mare de Déu de Montserrat","Malgrat de Mar","Pública",33,25
"441","08019897","Fonlladosa","Malgrat de Mar","Concertada",25,25
"442","08019903","Maristes Sant Pere Chanel","Malgrat de Mar","Concertada",37,50
"443","08019915","Vedruna","Malgrat de Mar","Concertada",61,50
"444","08019927","Escola Marià Cubí i Soler","Malgrat de Mar","Pública",20,50
"445","08019940","Escola Puig-Agut","Manlleu","Pública",27,44
"446","08019976","El Carme-Vedruna","Manlleu","Concertada",46,75
"1015","08039215","Casals-Gràcia","Manlleu","Concertada",19,25
"1039","08039628","Escola Pompeu Fabra","Manlleu","Pública",47,50
"1256","08060964","Escola Quatre Vents","Manlleu","Pública",50,50
"447","08020012","Escola Muntanya del Drac","Manresa","Pública",9,9
"448","08020036","Joviat","Manresa","Concertada",54,75
"449","08020061","Escola La Renaixença","Manresa","Pública",23,22
"450","08020073","Escola Sant Ignasi","Manresa","Pública",32,44
"451","08020085","Oms i de Prat","Manresa","Concertada",42,50
"452","08020097","Escola Pare Algué","Manresa","Pública",28,22
"453","08020127","Escola Bages","Manresa","Pública",53,50
"454","08020140","FEDAC-Manresa","Manresa","Concertada",37,50
"455","08020218","La Salle","Manresa","Concertada",24,25
"456","08020267","L'Ave Maria","Manresa","Concertada",20,25
"457","08020309","Mare de Déu del Pilar","Manresa","Concertada",19,21
"458","08020383","Vedruna Manresa","Manresa","Concertada",34,50
"1002","08038181","Escola Serra i Húnter","Manresa","Pública",30,44
"1019","08039318","Escola Puigberenguer","Manresa","Pública",55,50
"1120","08043759","L'Espill","Manresa","Concertada",16,25
"1228","08059755","Escola La Font","Manresa","Pública",29,44
"1310","08063898","Escola La Sèquia","Manresa","Pública",53,50
"1326","08064741","Escola Ítaca","Manresa","Pública",58,50
"1369","08067600","Escola Valldaura","Manresa","Pública",22,22
"1405","08075244","Escola Les Bases","Manresa","Pública",35,25
"459","08020498","Escola Els Convents","Martorell","Pública",22,22
"460","08020531","La Mercè","Martorell","Concertada",28,50
"461","08020607","Escola Juan Ramón Jiménez","Martorell","Pública",50,50
"462","08020619","Escola José Echegaray","Martorell","Pública",40,50
"906","08034278","Escola Vicente Aleixandre","Martorell","Pública",27,50
"1190","08053601","Escola Lola Anglada","Martorell","Pública",78,50
"1273","08061609","Escola Mercè Rodoreda","Martorell","Pública",54,50
"463","08020656","Escola Simeó Rabasa","Martorelles","Pública",30,25
"1160","08045586","Escola Les Pruneres","Martorelles","Pública",7,10
"1969","43010220","Escola de Maspujols","Maspujols","Pública",12,25
"468","08020841","Escola El Turó","Masquefa","Pública",48,50
"1243","08060605","Escola Font del Roure","Masquefa","Pública",35,50
"469","08020863","Escola Ginesta","Matadepera","Pública",39,46
"470","08020887","Montcau-La Mola","Matadepera","Concertada",49,50
"1246","08060757","Escola Joan Torredemer Canela","Matadepera","Pública",42,46
"271","08021119","Cor de Maria","Mataró","Concertada",37,50
"471","08020905","Escola Angeleta Ferrer","Mataró","Pública",37,50
"472","08020917","Escola Josep Manuel Peramàs","Mataró","Pública",36,50
"473","08020929","Escola Germanes Bertomeu","Mataró","Pública",37,44
"474","08020991","Meritxell","Mataró","Concertada",53,50
"475","08021016","Balmes","Mataró","Concertada",27,25
"476","08021028","Sagrat Cor de Jesús","Mataró","Concertada",20,25
"477","08021041","Escola Josep Montserrat","Mataró","Pública",8,25
"478","08021065","Mare de Déu de Lourdes","Mataró","Concertada",39,50
"479","08021089","Sant Antoni de Pàdua","Mataró","Concertada",54,50
"480","08021107","Escola Pia de Mataró","Mataró","Concertada",107,100
"481","08021144","Maristes Valldemia","Mataró","Concertada",69,75
"482","08021168","Gem","Mataró","Concertada",49,50
"483","08021181","Sant Josep","Mataró","Concertada",51,50
"484","08021193","El Turó","Mataró","Concertada",22,25
"485","08021235","Divina Providència","Mataró","Concertada",29,25
"486","08021272","Escola Àngela Bransuela","Mataró","Pública",29,25
"487","08021296","Escola Tomàs Viñas","Mataró","Pública",30,50
"907","08034321","Escola Torre Llauder","Mataró","Pública",25,25
"908","08034333","Escola La Llàntia","Mataró","Pública",41,50
"909","08034357","Escola Vista Alegre","Mataró","Pública",17,25
"921","08034734","Escola Camí del Mig","Mataró","Pública",40,50
"922","08034746","Escola Rocafonda","Mataró","Pública",40,44
"937","08035374","Sol-Ixent","Mataró","Concertada",16,25
"1038","08039616","Escola Camí del Cros","Mataró","Pública",57,50
"1196","08054113","Escola Anxaneta","Mataró","Pública",59,50
"1209","08056614","Escola Cirera","Mataró","Pública",18,22
"1308","08063874","Escola Antonio Machado","Mataró","Pública",26,50
"1336","08064994","Escola Maria-Mercè Marçal","Mataró","Pública",59,50
"1342","08065287","Escola Marta Mata","Mataró","Pública",43,50
"1366","08067430","Escola Montserrat Solà","Mataró","Pública",61,50
"1370","08067661","Escola Joan Coromines","Mataró","Pública",51,50
"488","08021326","Escola La Fassina","Mediona","Pública",7,7
"1017","08039288","Escola Renaixença","Mediona","Pública",4,4
"1503","17002201","Escola Finestres","Mieres","Pública",4,4
"1720","25003147","Escola Sant Miquel","Miralcamp","Pública",13,25
"515","08022094","Escola Josep Orriols i Roca","Moià","Pública",26,50
"516","08022100","Escola Pia de Moià","Moià","Concertada",12,25
"489","08021351","Escola El Palau","Molins de Rei","Pública",21,25
"490","08021363","Escola L'Alzina","Molins de Rei","Pública",15,25
"491","08021405","Virolai","Molins de Rei","Concertada",19,25
"492","08021417","Sant Miquel Arcàngel","Molins de Rei","Concertada",49,50
"493","08021442","Escola Castell Ciuró","Molins de Rei","Pública",57,50
"901","08034102","Escola Josep Maria Madorell","Molins de Rei","Pública",20,25
"1078","08041660","Escola Pont de la Cadena","Molins de Rei","Pública",14,25
"1142","08044247","Escola Estel","Molins de Rei","Pública",22,25
"1274","08061610","Escola La Sínia","Molins de Rei","Pública",58,50
"1721","25003196","El Carme","Mollerussa","Concertada",80,70
"1754","25005171","Escola Mestre Ignasi Peraire","Mollerussa","Pública",27,44
"1758","25005545","Escola Pompeu Fabra","Mollerussa","Pública",42,46
"1781","25009356","Escola Les Arrels","Mollerussa","Pública",26,23
"494","08021466","Escola Col·legis Nous","Mollet del Vallès","Pública",26,25
"495","08021508","Lestonnac","Mollet del Vallès","Concertada",35,50
"496","08021521","Anselm Clavé","Mollet del Vallès","Concertada",24,25
"497","08021545","Sant Gervasi","Mollet del Vallès","Concertada",118,100
"498","08021557","Mollet","Mollet del Vallès","Concertada",26,25
"499","08021570","Escola del Bosc","Mollet del Vallès","Pública",17,25
"500","08021582","Escola Joan Salvat Papasseit","Mollet del Vallès","Pública",15,22
"873","08032491","Escola Sant Vicenç","Mollet del Vallès","Pública",42,50
"882","08032713","Escola Sant Jordi","Mollet del Vallès","Pública",40,50
"995","08038041","Escola Federico García Lorca","Mollet del Vallès","Pública",9,5
"996","08038065","Escola Montseny","Mollet del Vallès","Pública",42,50
"1144","08044302","Escola Joan Abelló","Mollet del Vallès","Pública",29,50
"1180","08053406","Escola Can Besora","Mollet del Vallès","Pública",67,50
"1257","08060988","Escola Cal Músic","Mollet del Vallès","Pública",39,50
"508","08021892","Escola Sant Pere","Monistrol de Montserrat","Pública",16,25
"509","08021909","FEDAC-Monistrol","Monistrol de Montserrat","Concertada",22,25
"1504","17002259","Escola Torres Jonama","Mont-ras","Pública",21,15
"1817","43001668","Escola Mare de Déu de la Roca","Mont-roig del Camp","Pública",43,50
"1979","43010487","Escola Marcel·lí Esquius","Mont-roig del Camp","Pública",30,25
"1995","43012095","Escola Joan Miró","Mont-roig del Camp","Pública",25,50
"1813","43001553","Escola Les Muralles","Montblanc","Pública",46,50
"1814","43001577","Mare de Déu de la Serra","Montblanc","Concertada",21,25
"1815","43001607","Escola Josep M. Soler i Gené","Montbrió del Camp","Pública",24,25
"223","08008681","Ginesta","Montcada i Reixac","Concertada",21,25
"501","08021636","Escola El Viver","Montcada i Reixac","Pública",41,44
"502","08021685","Escola Font Freda","Montcada i Reixac","Pública",18,25
"503","08021727","FEDAC-Montcada","Montcada i Reixac","Concertada",49,50
"504","08021740","La Salle Montcada","Montcada i Reixac","Concertada",24,25
"505","08021764","Escola Mitja Costa","Montcada i Reixac","Pública",26,25
"923","08034783","Escola Elvira Cuyàs","Montcada i Reixac","Pública",60,50
"935","08035283","Escola Reixac","Montcada i Reixac","Pública",51,50
"1111","08043361","Escola El Turó","Montcada i Reixac","Pública",16,22
"1316","08064052","Escola Mas Rampinyo","Montcada i Reixac","Pública",58,50
"506","08021879","Mireia","Montgat","Concertada",23,25
"507","08021880","Escola Salvador Espriu","Montgat","Pública",31,50
"1263","08061087","Escola Marina","Montgat","Pública",54,50
"1419","08075724","Escola Norai","Montgat","Pública",11,25
"511","08022011","Escola Pau Casals","Montmeló","Pública",30,25
"512","08022045","Escola Sant Jordi","Montmeló","Pública",32,50
"513","08022057","Escola Sant Sadurní","Montornès del Vallès","Pública",23,25
"514","08022070","Escola Marinada","Montornès del Vallès","Pública",21,22
"997","08038077","Escola Can Parera","Montornès del Vallès","Pública",40,50
"1232","08059792","Escola Mogent","Montornès del Vallès","Pública",42,50
"1377","08068410","Escola Palau d'Ametlla","Montornès del Vallès","Pública",17,25
"1818","43001681","Escola Lluís Viñas i Viñoles","Móra d'Ebre","Pública",36,50
"1819","43001701","Santa Teresa","Móra d'Ebre","Concertada",20,25
"1997","43012289","Institut Escola 3 d'Abril","Móra la Nova","Pública",25,25
"1312","08063928","Escola Muntanyola","Muntanyola","Pública",2,6
"517","08022197","Escola Catalunya","Navarcles","Pública",45,50
"518","08022288","Sant Josep","Navàs","Concertada",21,25
"1394","08072188","Institut Escola Sant Jordi","Navàs","Pública",37,50
"1505","17002260","Escola Joaquim Vallmajó","Navata","Pública",15,17
"519","08022321","Escola Castell d'Òdena","Òdena","Pública",38,50
"520","08022343","Escola Circell","Olèrdola","Pública",19,25
"521","08022367","Escola Rossend Montané","Olèrdola","Pública",17,14
"522","08022379","Escola Pont de l'Arcada","Olesa de Bonesvalls","Pública",7,9
"523","08022380","Escola Mare de Déu de Montserrat","Olesa de Montserrat","Pública",17,22
"524","08022392","Daina Isard","Olesa de Montserrat","Concertada",57,50
"525","08022410","Escolàpies Olesa de Montserrat","Olesa de Montserrat","Concertada",27,25
"526","08022422","Povill","Olesa de Montserrat","Concertada",32,50
"527","08022461","Escola Sant Bernat","Olesa de Montserrat","Pública",33,50
"1020","08039343","Escola Josep Ferrà i Esteva","Olesa de Montserrat","Pública",50,50
"1301","08063734","Escola Puigventós","Olesa de Montserrat","Pública",65,50
"1752","25005132","Escola Sant Jordi","Oliana","Pública",18,25
"1181","08053418","Escola El Morsell","Olivella","Pública",22,25
"528","08022495","Escola Terra Nostra","Olost","Pública",12,20
"1506","17002296","Escola Malagrida","Olot","Pública",32,44
"1507","17002302","Escola Llar Lluís Maria Mestres i Martí","Olot","Pública",9,22
"1508","17002314","Escola Pla de Dalt","Olot","Pública",40,50
"1509","17002326","Escola Volcà Bisaroques","Olot","Pública",46,50
"1510","17002341","Escola Pia d'Olot","Olot","Concertada",34,50
"1511","17002405","Petit Plançó","Olot","Concertada",29,25
"1512","17002417","Cor de Maria","Olot","Concertada",35,50
"1513","17002429","Escola Sant Roc","Olot","Pública",41,50
"1638","17008778","Escola El Morrot","Olot","Pública",29,25
"1514","17002430","Escola Maria Pagès i Trayter","Ordis","Pública",2,2
"529","08022574","Escola Francesc Macià","Òrrius","Pública",7,7
"1515","17002442","Escola La Vall","Osor","Pública",3,4
"530","08022586","Escola El Drac","Pacs del Penedès","Pública",10,10
"531","08022598","Escola Les Ferreries de Palafolls","Palafolls","Pública",54,75
"1240","08060423","Escola Mas Prats","Palafolls","Pública",50,50
"1516","17002481","Escola Torres Jonama","Palafrugell","Pública",62,44
"1517","17002491","Escola Josep Barceló i Matas","Palafrugell","Pública",27,44
"1518","17002511","Vedruna","Palafrugell","Concertada",44,50
"1519","17002521","Sant Jordi","Palafrugell","Concertada",21,25
"1608","17006782","Escola Carrilet","Palafrugell","Pública",37,44
"1632","17008523","Escola Pi Verd","Palafrugell","Pública",37,44
"1520","17002569","Escola La Vila","Palamós","Pública",68,50
"1521","17002570","La Salle","Palamós","Concertada",39,50
"1522","17002594","Vedruna","Palamós","Concertada",36,50
"1523","17002612","Escola Vila-romà","Palamós","Pública",24,50
"1524","17002624","Escola Martí Inglès","Palau-saverdera","Pública",11,25
"532","08022616","Escola Josep Maria Folch i Torres","Palau-solità i Plegamans","Pública",35,25
"533","08022628","Marinada","Palau-solità i Plegamans","Concertada",23,25
"1067","08041222","Escola Can Cladellas","Palau-solità i Plegamans","Pública",40,50
"1185","08053467","Escola Palau","Palau-solità i Plegamans","Pública",46,50
"534","08022665","Escola Àngel Guimerà","Pallejà","Pública",23,25
"535","08022677","Escola Jacint Verdaguer","Pallejà","Pública",26,25
"966","08036275","L'Oreig","Pallejà","Concertada",25,25
"1146","08044430","Escola La Garalda","Pallejà","Pública",37,50
"1525","17002651","Escola Quermany","Pals","Pública",11,12
"537","08022690","Escola Lluís Piquer","Parets del Vallès","Pública",43,50
"538","08022707","Escola Pompeu Fabra","Parets del Vallès","Pública",21,25
"539","08022719","Nostra Senyora de Montserrat","Parets del Vallès","Concertada",41,50
"540","08022720","Escola Municipal Pau Vila","Parets del Vallès","Pública",58,50
"541","08022732","Acesco","Parets del Vallès","Concertada",14,25
"1311","08063916","Escola Vila Parietes","Parets del Vallès","Pública",18,25
"1526","17002703","Escola Pau","Pau","Pública",3,2
"1970","43009886","Escola Josep Veciana","Perafort","Pública",19,25
"1527","17002740","Escola Ramon Muntaner","Peralada","Pública",16,25
"542","08022768","Escola Herois del Bruc","Piera","Pública",41,50
"543","08022771","Apiària","Piera","Concertada",34,25
"1208","08056122","Escola Les Flandes","Piera","Pública",45,50
"545","08022801","Escola Antoni Doltra","Pineda de Mar","Pública",12,25
"546","08022811","FEDAC-Pineda","Pineda de Mar","Concertada",21,25
"547","08022835","Escola Jaume I","Pineda de Mar","Pública",21,25
"1155","08045033","Escola Montpalau","Pineda de Mar","Pública",34,25
"1156","08045045","Escola Mediterrània","Pineda de Mar","Pública",9,25
"1182","08053421","Escola Aloc","Pineda de Mar","Pública",21,25
"1202","08055117","Escola Sant Jordi","Pineda de Mar","Pública",33,25
"1337","08065007","Escola Poble Nou","Pineda de Mar","Pública",14,25
"551","08022872","Escola Pere Calders","Polinyà","Pública",28,25
"1272","08061543","Escola Roser Capdevila","Polinyà","Pública",43,50
"1396","08072395","Escola Polinyà","Polinyà","Pública",26,25
"1183","08053431","Escola El Roure","Pontons","Pública",2,4
"1724","25003718","Escola de Ponts","Ponts","Pública",21,25
"1529","17002791","Escola L'Entorn","Porqueres","Pública",36,50
"1530","17002818","Escola Frigolet","Porqueres","Pública",9,9
"1531","17002831","Escola Sant Jaume","Portbou","Pública",6,8
"1922","43005522","Escola Santa Marina","Pratdip","Pública",3,8
"559","08023189","FEDAC-Prats","Prats de Lluçanès","Concertada",5,25
"560","08023207","Escola Lluçanès","Prats de Lluçanès","Pública",10,20
"948","08035684","Escola Marià Manent","Premià de Dalt","Pública",45,50
"1147","08044442","Escola Santa Anna","Premià de Dalt","Pública",25,25
"1299","08063655","Betlem-2","Premià de Dalt","Concertada",22,25
"561","08023232","Escola Sant Cristòfol","Premià de Mar","Pública",27,50
"562","08023244","Assís","Premià de Mar","Concertada",30,25
"563","08023256","La Salle","Premià de Mar","Concertada",74,75
"564","08023323","El Pilar","Premià de Mar","Concertada",24,25
"565","08023335","Escola Montserrat","Premià de Mar","Pública",38,50
"1112","08043371","Escola La Lió","Premià de Mar","Pública",21,25
"1132","08043905","Escola El Dofí","Premià de Mar","Pública",27,20
"1376","08068379","Escola Mar Nova","Premià de Mar","Pública",27,25
"566","08023372","Escola Alfred Mata","Puig-reig","Pública",11,25
"567","08023384","Sant Martí","Puig-reig","Concertada",14,25
"1532","17002880","Escola Alfons I","Puigcerdà","Pública",32,50
"1533","17002892","Vedruna","Puigcerdà","Concertada",30,25
"1625","17008419","Escola Llums del Nord","Puigcerdà","Pública",20,25
"1824","43002171","Escola Joan Plana","Puigpelat","Pública",13,25
"1726","25003861","Escola Sant Jordi","Puigverd de Lleida","Pública",9,11
"1534","17002922","Escola Santa Margarida","Quart","Pública",31,50
"1647","17009242","Escola Nou de Quart","Quart","Pública",22,25
"1361","08067181","Escola de Rellinars","Rellinars","Pública",6,25
"1825","43002211","Escola Prat de la Riba","Reus","Pública",24,22
"1826","43002235","Escola Pompeu Fabra","Reus","Pública",21,22
"1827","43002247","Escola Misericòrdia","Reus","Pública",10,22
"1828","43002259","Escola Marià Fortuny","Reus","Pública",31,44
"1829","43002272","Escola General Prim","Reus","Pública",37,25
"1830","43002314","Arce","Reus","Concertada",24,25
"1831","43002338","La Presentació","Reus","Concertada",47,50
"1832","43002351","Maria Rosa Molas","Reus","Concertada",44,50
"1833","43002375","Maria Cortina","Reus","Concertada",32,25
